show_id,type,title,director,director_num,cast,cast_num,country,country_num,date_added,weekday_added,day_added,month_added,year_added,release_year,rating,duration,season,serial,listed_in,listed_in_num
70013050,Movie,Why We Fight: The Battle of Russia,"Frank Capra, Anatole Litvak",2,,,United States,1,"March 31, 2017",Friday,31,3,2017,1943,TV-14,82,0,0,Documentaries,1
70022548,Movie,WWII: Report from the Aleutians,John Huston,1,,,United States,1,"March 31, 2017",Friday,31,3,2017,1943,NR,45,0,0,Documentaries,1
70039241,Movie,Harlem Globetrotters: The Team That Changed the World,,,"Chuck D., Harlem Globetrotters",2,,,"November 1, 2019",Friday,1,11,2019,2005,TV-14,55,0,0,"Documentaries, Sports Movies",2
70039783,Movie,My Only Mother,Wenn V. Deramas,1,"Ai-Ai de las Alas, Marvin Agustin, Carlo Aquino, Heart Evangelista, Nikki Valdez, Shaina Magdayao, Serena Dalrymple, Jiro Manio",8,,,"March 4, 2019",Monday,4,3,2019,2013,TV-14,104,0,0,"Comedies, Dramas, International Movies",3
70063484,Movie,The Secret,Drew Heriot,1,,,"Australia, United States",2,"December 7, 2017",Thursday,7,12,2017,2006,TV-PG,91,0,0,"Documentaries, Faith & Spirituality",2
70081015,Movie,Garfield Gets Real,"Mark A.Z. Dippé, Kyung Ho Lee",2,"Frank Welker, Wally Wingert, Gregg Berger, Jennifer Darling, Pat Fraley, Jason Marsden, Neil Ross, Audrey Wasilewski, Stephen Stanton, Greg Eagles",10,,,"January 1, 2020",Wednesday,1,1,2020,2007,TV-Y7,78,0,0,"Children & Family Movies, Comedies",2
70091304,Movie,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,,,Mike Birbiglia,1,United States,1,"November 22, 2019",Friday,22,11,2019,2008,TV-14,56,0,0,Stand-Up Comedy,1
70111489,Movie,Listen Up! The Lives of Quincy Jones,Ellen Weissbrod,1,"Quincy Jones, Miles Davis, Ray Charles, Sheila E., Ella Fitzgerald, Flavor Flav, Aretha Franklin, Dizzy Gillespie, Lesley Gore, Herbie Hancock, Ice-T, Jesse Jackson, Michael Jackson, Frank Sinatra, Oprah Winfrey",15,,,"November 1, 2019",Friday,1,11,2019,1990,TV-14,116,0,0,"Documentaries, Music & Musicals",2
70118860,Movie,Monty Python Conquers America,Will Yapp,1,"Graham Chapman, Eric Idle, Terry Jones, Michael Palin, Terry Gilliam, John Cleese",6,,,"October 2, 2018",Tuesday,2,10,2018,2008,TV-MA,55,0,0,Documentaries,1
70129452,Movie,Louis C.K.: Hilarious,Louis C.K.,1,Louis C.K.,1,United States,1,"September 16, 2016",Friday,16,9,2016,2010,,84,0,0,Movies,1
70129457,Movie,Life 2.0,Jason Spingarn-Koff,1,,,United States,1,"April 1, 2017",Saturday,1,4,2017,2010,NR,99,0,0,Documentaries,1
70136114,TV Show,The L Word,,,"Jennifer Beals, Leisha Hailey, Laurel Holloman, Mia Kirshner, Katherine Moennig, Pam Grier, Rachel Shelley, Daniela Sea, Erin Daniels, Marlee Matlin",10,"Canada, United States",2,"March 20, 2018",Tuesday,20,3,2018,2009,TV-MA,,6,1,"Romantic TV Shows, TV Dramas",2
70136120,TV Show,The Office (U.S.),,,"Steve Carell, John Krasinski, Jenna Fischer, Rainn Wilson, B.J. Novak, Ed Helms, Brian Baumgartner, David Denman, Creed Bratton, Kate Flannery, Mindy Kaling, Angela Kinsey, Paul Lieberstein, Oscar Nuñez, Phyllis Smith",15,United States,1,"January 1, 2016",Friday,1,1,2016,2012,TV-14,,9,1,TV Comedies,1
70136122,TV Show,Weeds,,,"Mary-Louise Parker, Hunter Parrish, Alexander Gould, Kevin Nealon, Justin Kirk, Elizabeth Perkins, Allie Grant, Andy Milder, Tonye Patano, Romany Malco",10,United States,1,"April 1, 2014",Tuesday,1,4,2014,2012,TV-MA,,8,1,"TV Comedies, TV Dramas",2
70136126,TV Show,Dexter,,,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar, C.S. Lee, Lauren Vélez, Desmond Harrington, Julie Benz, Christina Robinson, Geoff Pierson",10,United States,1,"January 1, 2018",Monday,1,1,2018,2013,TV-MA,,8,1,"Crime TV Shows, TV Dramas, TV Mysteries",3
70136129,TV Show,The Tudors,,,"Jonathan Rhys Meyers, Henry Cavill, James Frain, Anthony Brophy, Guy Carleton, Sarah Bolger, Natalie Dormer, Max Brown, Nick Dunning, Rod Hallett, Maria Doyle Kennedy, Simon Ward",12,"Ireland, Canada, United States, United Kingdom",4,"January 8, 2018",Monday,8,1,2018,2010,TV-MA,,4,1,TV Dramas,1
70136135,TV Show,Mad Men,,,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones, Christina Hendricks, Aaron Staton, Rich Sommer, John Slattery, Kiernan Shipka, Robert Morse, Michael Gladis, Christopher Stanley, Bryan Batt, Jared Harris, Jessica Paré, Alison Brie, Jay R. Ferguson, Ben Feldman, Mark Moses, Alexa Alemanni, Julie McNiven",21,United States,1,"March 22, 2015",Sunday,22,3,2015,2014,TV-14,,7,1,TV Dramas,1
70136140,TV Show,Star Trek,,,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols, James Doohan, George Takei, Walter Koenig, Grace Lee Whitney, Majel Barrett",9,United States,1,"October 1, 2017",Sunday,1,10,2017,1968,TV-PG,,3,1,"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",3
70136152,TV Show,Spartacus,,,"Andy Whitfield, Liam McIntyre, Dustin Clare, John Hannah, Manu Bennett, Lucy Lawless, Peter Mensah, Nick E. Tarabay, Viva Bianca, Lesley-Ann Brandt, Jai Courtney, Daniel Feuerriegel",12,United States,1,"February 1, 2015",Sunday,1,2,2015,2013,TV-MA,,4,1,"TV Action & Adventure, TV Dramas",2
70137744,Movie,Rush: Beyond the Lighted Stage,"Sam Dunn, Scot McFadyen",2,,,Canada,1,"February 15, 2017",Wednesday,15,2,2017,2010,TV-14,107,0,0,"Documentaries, Music & Musicals",2
70140358,TV Show,Arrested Development,,,"Jason Bateman, Portia de Rossi, Will Arnett, Michael Cera, Alia Shawkat, Tony Hale, David Cross, Jeffrey Tambor, Jessica Walter, Ron Howard",10,United States,1,"May 29, 2018",Tuesday,29,5,2018,2019,TV-14,,5,1,TV Comedies,1
70140391,TV Show,Grey's Anatomy,,,"Ellen Pompeo, Sandra Oh, Katherine Heigl, Justin Chambers, Patrick Dempsey, Chandra Wilson, T.R. Knight, James Pickens Jr., Isaiah Washington, Sara Ramirez, Eric Dane, Chyler Leigh, Kate Walsh, Kevin McKidd, Jessica Capshaw",15,United States,1,"June 15, 2019",Saturday,15,6,2019,2018,TV-14,,15,1,"Romantic TV Shows, TV Dramas",2
70140438,TV Show,Skins,,,"Kaya Scodelario, Hannah Murray, Jack O'Connell, Kathryn Prescott, Lily Loveless, Nicholas Hoult, Joe Dempsie, Mike Bailey, April Pearson, Will Merrick, Freya Mavor, Laya Lewis, Ollie Barbieri, Dakota Blue Richards, Sean Teale, Larissa Wilson, Dev Patel, Mitch Hewer, Luke Pasqualino, Giles Thomas",20,United Kingdom,1,"August 2, 2017",Wednesday,2,8,2017,2013,TV-MA,,7,1,"British TV Shows, International TV Shows, TV Dramas",3
70140447,TV Show,The Guild,,,"Felicia Day, Sandeep Parikh, Jeff Lewis, Robin Thorsen, Amy Okuda, Vincent Caso",6,"United States, Japan",2,"March 2, 2019",Saturday,2,3,2019,2013,TV-14,,1,1,TV Comedies,1
70140450,TV Show,The IT Crowd,,,"Chris O'Dowd, Richard Ayoade, Katherine Parkinson, Matt Berry",4,United Kingdom,1,"August 1, 2017",Tuesday,1,8,2017,2013,TV-MA,,5,1,"British TV Shows, Classic & Cult TV, International TV Shows",3
70142362,TV Show,Nurse Jackie,,,"Edie Falco, Merritt Wever, Paul Schulze, Peter Facinelli, Stephen Wallem, Eve Best, Dominic Fumusa, Ruby Jerins, Anna Deavere Smith",9,United States,1,"December 31, 2015",Thursday,31,12,2015,2015,TV-MA,,7,1,"TV Comedies, TV Dramas",2
70142386,TV Show,NCIS,,,"Mark Harmon, Michael Weatherly, Pauley Perrette, David McCallum, Sean Murray, Cote de Pablo, Brian Dietzen, Rocky Carroll, Lauren Holly, Sasha Alexander, Joe Spano, Alan Dale, Emily Wickersham, Pancho Demmings",14,United States,1,"July 1, 2018",Sunday,1,7,2018,2017,TV-14,,15,1,"Crime TV Shows, TV Dramas, TV Mysteries",3
70142437,TV Show,Jericho,,,"Skeet Ulrich, Lennie James, Ashley Scott, Kenneth Mitchell, Brad Beyer, April Parker-Jones, Alicia Coppola, Pamela Reed, Bob Stephenson, Gerald McRaney, Clare Carey, Richard Speight Jr., Michael Gaston, Erik Knudsen, Shoshannah Stern, Sprague Grayden",16,United States,1,"August 16, 2017",Wednesday,16,8,2017,2008,TV-14,,2,1,"Classic & Cult TV, TV Action & Adventure, TV Dramas",3
70143241,Movie,The Croods,"Kirk De Micco, Chris Sanders",2,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener, Cloris Leachman, Clark Duke, Chris Sanders, Randy Thom",8,,,"July 29, 2019",Monday,29,7,2019,2013,PG,99,0,0,"Children & Family Movies, Comedies",2
70143811,TV Show,Gossip Girl,,,"Blake Lively, Leighton Meester, Penn Badgley, Chace Crawford, Ed Westwick, Kelly Rutherford, Matthew Settle, Taylor Momsen, Jessica Szohr, Zuzanna Szadkowski, Connor Paolo",11,United States,1,"October 8, 2013",Tuesday,8,10,2013,2012,TV-14,,6,1,"TV Dramas, Teen TV Shows",2
70143831,TV Show,The Universe,,,Erik Thompson,1,United States,1,"September 15, 2019",Sunday,15,9,2019,2009,TV-PG,,1,1,"Docuseries, Science & Nature TV",2
70143836,TV Show,Breaking Bad,,,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito",10,United States,1,"August 2, 2013",Friday,2,8,2013,2013,TV-MA,,5,1,"Crime TV Shows, TV Dramas, TV Thrillers",3
70143842,TV Show,Parks and Recreation,,,"Amy Poehler, Rashida Jones, Aziz Ansari, Nick Offerman, Aubrey Plaza, Chris Pratt, Jim O'Heir, Retta, Adam Scott, Rob Lowe, Paul Schneider",11,United States,1,"January 13, 2016",Wednesday,13,1,2016,2015,TV-14,,7,1,TV Comedies,1
70143843,TV Show,Glee,,,"Lea Michele, Chris Colfer, Jane Lynch, Matthew Morrison, Cory Monteith, Naya Rivera, Kevin McHale, Jenna Ushkowitz, Amber Riley, Mark Salling, Heather Morris, Harry Shum Jr., Jayma Mays, Dianna Agron",14,United States,1,"July 18, 2015",Saturday,18,7,2015,2015,TV-PG,,6,1,"TV Comedies, TV Dramas, Teen TV Shows",3
70143860,TV Show,The Vampire Diaries,,,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Steven R. McQueen, Sara Canning, Kat Graham, Candice King, Zach Roerig, Michael Trevino, Matthew Davis, Joseph Morgan",11,United States,1,"September 4, 2017",Monday,4,9,2017,2017,TV-14,,8,1,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",3
70143865,TV Show,Pawn Stars,,,"Corey Harrison, Richard Harrison, Rick Harrison, Austin ""Chumlee"" Russell",4,United States,1,"September 15, 2019",Sunday,15,9,2019,2010,TV-PG,,1,1,Reality TV,1
70152640,TV Show,Cheers,,,"Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto",9,United States,1,"July 1, 2017",Saturday,1,7,2017,1992,TV-PG,,11,1,"Classic & Cult TV, TV Comedies",2
70153374,TV Show,Intelligence,,,"Ian Tracey, Klea Scott, John Cassini, Matt Frewer, Alana Husband, Kyla Wise, Camille Sullivan, Darcy Laurie, Eugene Lipinski, Michael Eklund",10,Canada,1,"July 19, 2017",Wednesday,19,7,2017,2007,TV-14,,2,1,"Crime TV Shows, TV Dramas",2
70153385,TV Show,Trailer Park Boys,,,"Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Cory Bowles, Lucy Decoutere, Barrie Dunn, Sarah Dunsworth, Jeanna Harrison, Michael Jackson, Garry James, Tyrone Parsons, Shelley Thompson, Jonathan Torrens",15,Canada,1,"March 30, 2018",Friday,30,3,2018,2018,TV-MA,,12,1,"Classic & Cult TV, Crime TV Shows, International TV Shows",3
70153390,TV Show,Criminal Minds,,,"Mandy Patinkin, Joe Mantegna, Thomas Gibson, Shemar Moore, Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Paget Brewster, Lola Glaudini, Jennifer Love Hewitt, Jeanne Tripplehorn",11,"United States, Canada",2,"June 30, 2017",Friday,30,6,2017,2017,TV-14,,12,1,"Crime TV Shows, TV Dramas, TV Mysteries",3
70153404,TV Show,Friends,,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer",6,United States,1,,,,,,2003,TV-14,,10,1,"Classic & Cult TV, TV Comedies",2
70153408,TV Show,Twin Peaks,,,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook, Richard Beymer, Lara Flynn Boyle, Sherilyn Fenn, Warren Frost, Peggy Lipton, James Marshall, Everett McGill, Jack Nance, Joan Chen, Kimmy Robertson, Michael Horse, Piper Laurie, Harry Goaz, Eric DaRe, Wendy Robie, Ray Wise, Sheryl Lee, Russ Tamblyn, Don S. Davis, Chris Mulkey, Gary Hershberger, Grace Zabriskie",26,United States,1,"July 1, 2017",Saturday,1,7,2017,1990,TV-MA,,2,1,"Classic & Cult TV, Crime TV Shows, TV Dramas",3
70153412,TV Show,Frasier,,,"Kelsey Grammer, Jane Leeves, David Hyde Pierce, Peri Gilpin, John Mahoney, Dan Butler",6,United States,1,,,,,,2003,TV-PG,,11,1,"Classic & Cult TV, TV Comedies",2
70155574,TV Show,The Andy Griffith Show,,,"Andy Griffith, Ron Howard, Don Knotts, Frances Bavier, Howard McNear, Hope Summers",6,United States,1,"July 1, 2017",Saturday,1,7,2017,1967,TV-G,,8,1,"Classic & Cult TV, TV Comedies",2
70155579,TV Show,Johnny Test,,,"James Arnold Taylor, Louis Chirillo, Maryke Hendrikse, Ashleigh Ball, Ian James Corlett, Brittney Wilson",6,"United States, Canada",2,"June 1, 2015",Monday,1,6,2015,2013,TV-Y7,,6,1,Kids' TV,1
70155610,TV Show,That '70s Show,,,"Topher Grace, Mila Kunis, Ashton Kutcher, Danny Masterson, Laura Prepon, Wilmer Valderrama, Debra Jo Rupp, Kurtwood Smith, Don Stark, Tanya Roberts, Tommy Chong, Lisa Robin Kelly",12,United States,1,"November 1, 2017",Wednesday,1,11,2017,2005,TV-14,,8,1,TV Comedies,1
70155618,TV Show,Gilmore Girls,,,"Lauren Graham, Alexis Bledel, Scott Patterson, Keiko Agena, Yanic Truesdale, Kelly Bishop, Edward Herrmann, Melissa McCarthy, Sean Gunn, Liza Weil, Liz Torres, Jared Padalecki",12,United States,1,"October 1, 2017",Sunday,1,10,2017,2006,TV-14,,7,1,"Romantic TV Shows, TV Comedies, TV Dramas",3
70155629,TV Show,Charmed,,,"Holly Marie Combs, Alyssa Milano, Brian Krause, Rose McGowan, Shannen Doherty, Dorian Gregory",6,United States,1,"October 1, 2017",Sunday,1,10,2017,2005,TV-PG,,8,1,"Romantic TV Shows, TV Comedies, TV Dramas",3
70157152,TV Show,The West Wing,,,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer, Bradley Whitford, Janel Moloney, Richard Schiff, Dulé Hill, NiCole Robinson, Melissa Fitzgerald, Joshua Malina, Stockard Channing, Kim Webster, Kris Murphy, Timothy Davis-Reed",15,United States,1,"December 25, 2015",Friday,25,12,2015,2005,TV-14,,7,1,TV Dramas,1
70157196,TV Show,The Inbetweeners,,,"Simon Bird, James Buckley, Blake Harrison, Joe Thomas, Greg Davies, Emily Head, Martin Trenaman, Belinda Stewart-Wilson, Robin Weaver, Henry Lloyd-Hughes",10,United Kingdom,1,"January 1, 2018",Monday,1,1,2018,2010,TV-MA,,3,1,"British TV Shows, TV Comedies",2
70157231,TV Show,The 4400,,,"Joel Gretsch, Jacqueline McKenzie, Patrick John Flueger, Conchita Campbell, Chad Faust, Richard Kahan, Mahershala Ali, Billy Campbell",8,"United States, United Kingdom",2,"September 1, 2013",Sunday,1,9,2013,2007,TV-14,,4,1,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",3
70157266,TV Show,Scare Tactics,,,"Tracy Morgan, Lauren Ash",2,United States,1,"June 30, 2019",Sunday,30,6,2019,2011,TV-MA,,2,1,"Reality TV, TV Comedies, TV Horror",3
70157294,TV Show,Private Practice,,,"Kate Walsh, Tim Daly, Audra McDonald, Paul Adelstein, Taye Diggs, Amy Brenneman, KaDee Strickland, Chris Lowell, Brian Benben",9,United States,1,"December 22, 2019",Sunday,22,12,2019,2012,TV-14,,6,1,"TV Comedies, TV Dramas",2
70157402,TV Show,Highway to Heaven,,,"Michael Landon, Victor French",2,United States,1,"November 1, 2016",Tuesday,1,11,2016,1988,TV-PG,,5,1,TV Dramas,1
70157434,TV Show,Extras,,,"Ricky Gervais, Stephen Merchant, Ashley Jensen, Shaun Williamson, Shaun Pye",5,"United Kingdom, United States",2,"March 31, 2017",Friday,31,3,2017,2006,TV-MA,,2,1,"British TV Shows, TV Comedies",2
70157452,TV Show,Dinner for Five,,,,,United States,1,"February 4, 2008",Monday,4,2,2008,2007,TV-MA,,1,1,Stand-Up Comedy & Talk Shows,1
70158329,TV Show,Star Trek: The Next Generation,,,"Patrick Stewart, Jonathan Frakes, LeVar Burton, Michael Dorn, Marina Sirtis, Brent Spiner, Gates McFadden, Majel Barrett, Wil Wheaton",9,United States,1,"April 2, 2018",Monday,2,4,2018,1993,TV-PG,,7,1,"TV Action & Adventure, TV Sci-Fi & Fantasy",2
70158330,TV Show,Star Trek: Deep Space Nine,,,"Avery Brooks, Nana Visitor, Rene Auberjonois, Cirroc Lofton, Alexander Siddig, Colm Meaney, Armin Shimerman, Terry Farrell, Michael Dorn",9,United States,1,"January 1, 2017",Sunday,1,1,2017,1999,TV-PG,,7,1,"TV Action & Adventure, TV Sci-Fi & Fantasy",2
70158331,TV Show,Star Trek: Voyager,,,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Jennifer Lien, Robert Duncan McNeill, Ethan Phillips, Robert Picardo, Tim Russ, Jeri Ryan, Garrett Wang, Tarik Ergin",11,United States,1,"October 1, 2017",Sunday,1,10,2017,2000,TV-PG,,7,1,"TV Action & Adventure, TV Sci-Fi & Fantasy",2
70158332,TV Show,Star Trek: Enterprise,,,"Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating, Anthony Montgomery, Linda Park, Connor Trinneer",7,United States,1,"October 1, 2017",Sunday,1,10,2017,2004,TV-PG,,4,1,"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",3
70167128,Movie,Miss Representation,Jennifer Siebel Newsom,1,,,United States,1,"October 20, 2017",Friday,20,10,2017,2011,NR,90,0,0,Documentaries,1
70171946,TV Show,Heartland,,,"Amber Marshall, Michelle Morgan, Graham Wardle, Shaun Johnston, Chris Potter, Jessica Amlee, Kerry James, Nathaniel Arcand",8,Canada,1,"August 1, 2019",Thursday,1,8,2019,2017,TV-PG,,11,1,TV Dramas,1
70171947,TV Show,Scooby-Doo!: Mystery Incorporated,,,"Frank Welker, Mindy Cohn, Grey DeLisle, Matthew Lillard, Patrick Warburton, Gary Cole, Frances Conroy, Vivica A. Fox",8,,,"December 15, 2019",Sunday,15,12,2019,2012,TV-Y7-FV,,2,1,Kids' TV,1
70171957,TV Show,Republic of Doyle,,,"Allan Hawco, Krystin Pellerin, Marthe Bernard, Mark O'Brien, Sean McGinley, Lynda Boyd, Bob Cole, Steve O'Connell, Sean Panting, Rachel Wilson",10,Canada,1,"March 31, 2016",Thursday,31,3,2016,2014,TV-14,,6,1,"Crime TV Shows, TV Comedies, TV Dramas",3
70172485,TV Show,Victorious,,,"Victoria Justice, Leon Thomas III, Matt Bennett, Elizabeth Gillies, Ariana Grande, Avan Jogia, Daniella Monet, Michael Eric Reid, Jake Farrow, Eric Lange",10,United States,1,"November 2, 2019",Saturday,2,11,2019,2013,TV-G,,3,1,"Kids' TV, TV Comedies",2
70172488,TV Show,The Twilight Zone (Original Series),,,Rod Serling,1,United States,1,"July 1, 2017",Saturday,1,7,2017,1963,TV-PG,,4,1,"Classic & Cult TV, TV Sci-Fi & Fantasy",2
70175670,TV Show,Episodes,,,"Matt LeBlanc, Tamsin Greig, Stephen Mangan, Kathleen Rose Perkins, John Pankow, Mircea Monroe",6,"United States, United Kingdom",2,"January 6, 2018",Saturday,6,1,2018,2017,TV-MA,,5,1,"Classic & Cult TV, TV Comedies",2
70177034,TV Show,Yu-Gi-Oh!,,,"Dan Green, Eric Stuart, Amy Birnbaum, Darren Dunstan, Wayne Grayson, Tara Sands, Lisa Ortiz, Megan Hollingshead, Madeleine Blaustein, Sam Riegel, Ted Lewis, Gregory Abbey, Jimmy Zoppi",13,Japan,1,"March 31, 2018",Saturday,31,3,2018,2005,TV-Y7,,5,1,"Anime Series, Kids' TV",2
70177040,TV Show,Danger Mouse: Classic Collection,,,"David Jason, Terry Scott, Edward Kelsey, Brian Trueman",4,United Kingdom,1,"June 15, 2015",Monday,15,6,2015,1992,TV-Y,,10,1,"British TV Shows, Kids' TV, TV Comedies",3
70177057,TV Show,The Walking Dead,,,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal",16,United States,1,"September 1, 2019",Sunday,1,9,2019,2018,TV-MA,,9,1,"Classic & Cult TV, TV Action & Adventure, TV Dramas",3
70177067,TV Show,Haven,,,"Emily Rose, Lucas Bryant, Nicholas Campbell, Eric Balfour, Richard Donat, John Dunsworth, Maurice Dean Wint, Adam Copeland",8,"Canada, United States",2,"September 8, 2015",Tuesday,8,9,2015,2015,TV-14,,5,1,"Classic & Cult TV, TV Horror, TV Mysteries",3
70177084,TV Show,The Borgias,,,"Jeremy Irons, François Arnaud, Holliday Grainger, Peter Sullivan, Sean Harris, Joanne Whalley, Lotte Verbeek, Colm Feore, Vernon Dobtcheff, David Oakes",10,"United States, Hungary, Ireland, Canada",4,"February 1, 2014",Saturday,1,2,2014,2013,TV-MA,,3,1,TV Dramas,1
70178217,TV Show,House of Cards,,,"Kevin Spacey, Robin Wright, Kate Mara, Corey Stoll, Sakina Jaffrey, Kristen Connolly, Constance Zimmer, Sebastian Arcelus, Nathan Darrow, Sandrine Holt, Michel Gill, Elizabeth Norment, Mahershala Ali, Reg E. Cathey, Molly Parker, Derek Cecil, Elizabeth Marvel, Kim Dickens, Lars Mikkelsen, Michael Kelly, Joel Kinnaman, Campbell Scott, Patricia Clarkson, Neve Campbell",24,United States,1,"November 2, 2018",Friday,2,11,2018,2018,TV-MA,,6,1,"TV Dramas, TV Thrillers",2
70178604,TV Show,Ancient Aliens,,,Robert Clotworthy,1,United States,1,"September 17, 2019",Tuesday,17,9,2019,2010,TV-PG,,1,1,"Docuseries, Science & Nature TV",2
70180051,TV Show,H2O: Just Add Water,,,"Cariba Heine, Phoebe Tonkin, Angus McLaren, Burgess Abernethy, Claire Holt, Alan David Lee, Cleo Massey, Jamie Timony",8,Australia,1,"February 8, 2017",Wednesday,8,2,2017,2009,TV-PG,,3,1,"Kids' TV, TV Dramas",2
70180088,TV Show,The Garfield Show,,,"Frank Welker, Wally Wingert, Gregg Berger",3,"France, United States",2,"February 1, 2019",Friday,1,2,2019,2018,TV-Y7,,3,1,"Kids' TV, TV Comedies",2
70184126,TV Show,V.R. Troopers,,,"Michael Sorich, Gardner Baldwin, Mike Reynolds, Richard Rabago, Brad Hawkins, Michael Bacon, Kerrigan Mahan, Sarah Brown, Julian Combs, David Carr, Farrand Thompson, Zeb, Aaron Pruner",13,United States,1,"January 1, 2016",Friday,1,1,2016,1995,TV-Y7-FV,,2,1,Kids' TV,1
70184127,TV Show,Big Bad Beetleborgs,,,"Wesley Barker, Herbie Baez, Elisabeth Lund, Shannon Chandler, Billy Forester, Frank Addela, Kyle Jordan, Dave 'Foots' Footman, Derek Stephen Prince, Vivian Smallwood",10,"United States, France, Japan",3,"January 1, 2016",Friday,1,1,2016,1997,TV-Y7-FV,,2,1,"Kids' TV, TV Comedies",2
