city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1.0,280.0,6.0,6.0,3.0,,1.0,0.0,0.0,5000.0,1118.0,76.0,6194.0
0.0,64.0,2.0,1.0,1.0,,1.0,0.0,441.0,730.0,18.0,10.0,1199.0
0.0,270.0,3.0,3.0,0.0,,1.0,1.0,0.0,8000.0,500.0,121.0,8621.0
0.0,198.0,6.0,3.0,4.0,,1.0,0.0,0.0,2000.0,145.0,31.0,2176.0
1.0,50.0,1.0,1.0,0.0,,1.0,0.0,0.0,1080.0,59.0,17.0,1156.0
1.0,440.0,4.0,4.0,4.0,,1.0,0.0,0.0,12000.0,2500.0,181.0,14680.0
1.0,35.0,2.0,1.0,1.0,,1.0,0.0,125.0,2100.0,0.0,32.0,2257.0
1.0,90.0,2.0,1.0,1.0,,1.0,0.0,0.0,1500.0,0.0,23.0,1523.0
1.0,250.0,7.0,5.0,2.0,,1.0,0.0,0.0,12750.0,1045.0,192.0,13990.0
1.0,120.0,3.0,4.0,1.0,,0.0,0.0,0.0,4000.0,4.0,61.0,4065.0
1.0,90.0,1.0,1.0,2.0,,1.0,1.0,0.0,3200.0,137.0,49.0,3386.0
1.0,100.0,1.0,1.0,0.0,,1.0,0.0,0.0,1530.0,0.0,12.0,1542.0
1.0,340.0,4.0,6.0,6.0,,1.0,1.0,,15000.0,250.0,226.0,15480.0
1.0,500.0,4.0,4.0,0.0,,1.0,0.0,0.0,6000.0,467.0,91.0,6558.0
1.0,68.0,1.0,1.0,0.0,,0.0,0.0,0.0,1213.0,0.0,6.0,1219.0
1.0,500.0,4.0,4.0,3.0,,1.0,0.0,,10800.0,988.0,163.0,11950.0
1.0,187.0,3.0,2.0,3.0,,0.0,1.0,1700.0,8400.0,584.0,127.0,10810.0
1.0,230.0,3.0,4.0,3.0,,1.0,0.0,0.0,3600.0,409.0,55.0,4064.0
1.0,90.0,3.0,2.0,1.0,,1.0,0.0,0.0,3260.0,0.0,50.0,3310.0
1.0,150.0,3.0,4.0,2.0,,0.0,0.0,0.0,3400.0,0.0,52.0,3452.0
1.0,250.0,3.0,4.0,4.0,,1.0,0.0,0.0,4500.0,334.0,68.0,4902.0
1.0,110.0,2.0,2.0,2.0,,0.0,0.0,0.0,2700.0,300.0,41.0,3041.0
1.0,400.0,2.0,5.0,4.0,,1.0,0.0,0.0,6000.0,484.0,91.0,6575.0
1.0,300.0,3.0,5.0,3.0,,1.0,0.0,0.0,11900.0,250.0,179.0,12330.0
1.0,180.0,2.0,2.0,1.0,,0.0,0.0,0.0,2800.0,105.0,43.0,2948.0
1.0,286.0,4.0,4.0,5.0,,1.0,0.0,0.0,10000.0,1000.0,151.0,11150.0
1.0,400.0,4.0,4.0,3.0,,1.0,0.0,,9000.0,542.0,136.0,9678.0
1.0,90.0,1.0,1.0,0.0,,1.0,0.0,0.0,2200.0,109.0,34.0,2343.0
1.0,11.0,1.0,1.0,0.0,,0.0,1.0,0.0,1181.0,0.0,15.0,1196.0
1.0,220.0,3.0,4.0,2.0,,1.0,1.0,0.0,7000.0,434.0,106.0,7540.0
0.0,209.0,3.0,3.0,2.0,,0.0,0.0,593.0,2550.0,237.0,39.0,3419.0
1.0,450.0,5.0,5.0,6.0,,1.0,0.0,0.0,9500.0,1345.0,143.0,10990.0
1.0,900.0,4.0,6.0,8.0,,1.0,0.0,0.0,15000.0,4417.0,226.0,19640.0
1.0,200.0,3.0,3.0,0.0,,1.0,0.0,,4500.0,71.0,68.0,4639.0
1.0,35.0,1.0,1.0,0.0,,1.0,0.0,0.0,1100.0,30.0,14.0,1144.0
1.0,320.0,4.0,2.0,2.0,,1.0,1.0,0.0,8000.0,642.0,121.0,8763.0
1.0,130.0,2.0,2.0,1.0,,1.0,0.0,1100.0,4300.0,100.0,55.0,5555.0
0.0,600.0,4.0,6.0,3.0,,1.0,0.0,1123.0,5500.0,819.0,83.0,7525.0
1.0,520.0,3.0,4.0,2.0,,1.0,0.0,0.0,9000.0,1500.0,136.0,10640.0
1.0,550.0,4.0,4.0,4.0,,1.0,0.0,0.0,14000.0,1334.0,211.0,15550.0
1.0,50.0,1.0,1.0,0.0,,0.0,0.0,0.0,1220.0,0.0,19.0,1239.0
1.0,298.0,5.0,3.0,3.0,,1.0,0.0,0.0,8000.0,1384.0,121.0,9505.0
1.0,200.0,3.0,2.0,4.0,,1.0,0.0,0.0,3500.0,0.0,53.0,3553.0
1.0,250.0,4.0,2.0,8.0,,1.0,0.0,0.0,13040.0,500.0,197.0,13740.0
1.0,105.0,2.0,1.0,0.0,,1.0,0.0,0.0,1800.0,125.0,28.0,1953.0
1.0,150.0,2.0,2.0,1.0,,1.0,0.0,1.0,2100.0,0.0,32.0,2133.0
1.0,180.0,3.0,2.0,1.0,,1.0,0.0,,5400.0,459.0,82.0,5941.0
1.0,50.0,1.0,1.0,0.0,,0.0,0.0,0.0,1000.0,0.0,16.0,1016.0
0.0,70.0,1.0,1.0,2.0,,1.0,0.0,0.0,1450.0,5.0,22.0,1477.0
1.0,177.0,2.0,2.0,2.0,,1.0,0.0,0.0,6000.0,342.0,91.0,6433.0
1.0,18.0,1.0,1.0,0.0,,1.0,0.0,0.0,1710.0,0.0,22.0,1732.0
1.0,200.0,3.0,4.0,2.0,,1.0,0.0,0.0,2900.0,1100.0,44.0,4044.0
1.0,350.0,4.0,5.0,2.0,,1.0,0.0,0.0,5000.0,325.0,76.0,5401.0
1.0,106.0,2.0,1.0,2.0,,0.0,0.0,0.0,2100.0,110.0,32.0,2242.0
1.0,500.0,3.0,3.0,5.0,,1.0,1.0,0.0,15000.0,1125.0,226.0,16350.0
1.0,38.0,1.0,1.0,0.0,,0.0,0.0,,1650.0,0.0,25.0,1675.0
1.0,260.0,3.0,4.0,4.0,,1.0,0.0,0.0,4500.0,0.0,68.0,4568.0
1.0,270.0,5.0,7.0,2.0,,1.0,0.0,0.0,3978.0,89.0,60.0,4127.0
1.0,40.0,1.0,1.0,0.0,,1.0,0.0,0.0,980.0,59.0,15.0,1054.0
1.0,42.0,1.0,1.0,1.0,,1.0,1.0,450.0,2000.0,88.0,26.0,2564.0
1.0,110.0,3.0,2.0,3.0,,1.0,0.0,0.0,2800.0,15.0,43.0,2858.0
1.0,150.0,3.0,3.0,2.0,,1.0,0.0,0.0,5000.0,235.0,76.0,5311.0
0.0,47.0,2.0,1.0,1.0,,1.0,0.0,255.0,1290.0,33.0,17.0,1595.0
0.0,203.0,3.0,1.0,2.0,,1.0,0.0,0.0,3300.0,117.0,50.0,3467.0
1.0,400.0,4.0,3.0,2.0,,1.0,0.0,0.0,15000.0,1870.0,226.0,17100.0
1.0,90.0,1.0,1.0,0.0,,0.0,0.0,,1150.0,59.0,18.0,1227.0
1.0,30.0,1.0,1.0,0.0,1.0,0.0,0.0,,900.0,0.0,12.0,912.0
1.0,175.0,4.0,3.0,2.0,,1.0,0.0,0.0,3200.0,380.0,49.0,3629.0
1.0,400.0,3.0,3.0,2.0,,0.0,0.0,0.0,12000.0,0.0,181.0,12180.0
1.0,65.0,2.0,1.0,1.0,,1.0,0.0,0.0,1800.0,0.0,28.0,1828.0
1.0,250.0,3.0,4.0,2.0,,1.0,0.0,0.0,4200.0,192.0,64.0,4456.0
0.0,300.0,4.0,3.0,5.0,,1.0,0.0,0.0,4100.0,20.0,62.0,4182.0
0.0,230.0,4.0,4.0,8.0,,1.0,0.0,0.0,5100.0,320.0,77.0,5497.0
1.0,300.0,3.0,3.0,3.0,,1.0,0.0,1.0,3400.0,417.0,52.0,3870.0
1.0,270.0,3.0,4.0,3.0,,1.0,0.0,,6800.0,417.0,103.0,7320.0
1.0,400.0,4.0,4.0,4.0,,1.0,0.0,0.0,8500.0,1250.0,128.0,9878.0
1.0,180.0,3.0,2.0,3.0,,1.0,0.0,0.0,4600.0,3600.0,70.0,8270.0
1.0,420.0,4.0,3.0,4.0,,1.0,0.0,0.0,15000.0,1250.0,226.0,16480.0
1.0,80.0,1.0,1.0,0.0,,1.0,0.0,0.0,1700.0,60.0,26.0,1786.0
1.0,450.0,3.0,3.0,8.0,,1.0,1.0,0.0,5015.0,400.0,76.0,5491.0
1.0,90.0,3.0,2.0,0.0,,1.0,0.0,295.0,2572.0,53.0,8.0,2928.0
1.0,60.0,2.0,2.0,0.0,,1.0,0.0,518.0,1300.0,170.0,10.0,1998.0
1.0,150.0,3.0,2.0,1.0,,1.0,0.0,0.0,2500.0,0.0,38.0,2538.0
0.0,50.0,1.0,1.0,0.0,,1.0,0.0,0.0,880.0,0.0,14.0,894.0
1.0,350.0,5.0,4.0,8.0,,0.0,0.0,,9000.0,762.0,136.0,9898.0
1.0,78.0,2.0,1.0,1.0,,1.0,0.0,,1700.0,82.0,26.0,1808.0
1.0,300.0,4.0,4.0,3.0,,1.0,1.0,0.0,5080.0,284.0,77.0,5441.0
1.0,130.0,3.0,2.0,2.0,,1.0,0.0,0.0,3300.0,108.0,50.0,3458.0
1.0,250.0,3.0,3.0,3.0,,1.0,0.0,0.0,4500.0,150.0,68.0,4718.0
1.0,130.0,3.0,2.0,3.0,,1.0,1.0,0.0,7450.0,167.0,112.0,7729.0
1.0,25.0,1.0,1.0,0.0,,1.0,0.0,20.0,1200.0,25.0,19.0,1264.0
1.0,240.0,3.0,2.0,3.0,,1.0,0.0,0.0,9265.0,525.0,140.0,9930.0
1.0,700.0,4.0,10.0,0.0,,1.0,0.0,0.0,15000.0,8750.0,226.0,23980.0
0.0,462.0,4.0,7.0,4.0,,1.0,0.0,0.0,5000.0,590.0,76.0,5666.0
0.0,350.0,4.0,3.0,4.0,,0.0,0.0,500.0,6000.0,500.0,91.0,7091.0
1.0,125.0,3.0,2.0,2.0,,1.0,1.0,,3000.0,150.0,46.0,3196.0
1.0,30.0,4.0,4.0,2.0,,1.0,1.0,0.0,5000.0,4247.0,76.0,9323.0
1.0,48.0,2.0,1.0,0.0,,1.0,0.0,100.0,1350.0,0.0,18.0,1468.0
1.0,560.0,5.0,5.0,6.0,,1.0,0.0,0.0,15000.0,1917.0,226.0,17140.0
1.0,600.0,3.0,3.0,4.0,,1.0,0.0,0.0,6800.0,966.0,103.0,7869.0
1.0,160.0,4.0,4.0,2.0,,1.0,0.0,0.0,2400.0,0.0,37.0,2437.0
1.0,200.0,4.0,2.0,2.0,,1.0,1.0,0.0,6500.0,500.0,98.0,7098.0
1.0,580.0,6.0,6.0,6.0,,1.0,0.0,0.0,6960.0,2084.0,105.0,9149.0
1.0,60.0,2.0,1.0,0.0,,1.0,0.0,0.0,1600.0,25.0,25.0,1650.0
1.0,243.0,2.0,3.0,2.0,,1.0,0.0,0.0,4619.0,559.0,70.0,5248.0
1.0,103.0,2.0,1.0,0.0,,1.0,0.0,0.0,1300.0,80.0,20.0,1400.0
1.0,240.0,3.0,5.0,4.0,,1.0,0.0,0.0,7500.0,459.0,113.0,8072.0
0.0,380.0,4.0,6.0,3.0,,1.0,0.0,0.0,4000.0,455.0,61.0,4516.0
1.0,300.0,4.0,5.0,4.0,,1.0,1.0,,14000.0,1167.0,211.0,15380.0
1.0,180.0,3.0,1.0,0.0,,1.0,0.0,0.0,2500.0,334.0,38.0,2872.0
1.0,556.0,6.0,7.0,4.0,,1.0,0.0,0.0,7500.0,1084.0,113.0,8697.0
1.0,175.0,3.0,2.0,2.0,,0.0,0.0,0.0,3900.0,264.0,59.0,4223.0
1.0,320.0,3.0,4.0,2.0,,1.0,1.0,0.0,5500.0,250.0,83.0,5833.0
1.0,108.0,3.0,3.0,2.0,,1.0,0.0,0.0,2800.0,209.0,43.0,3052.0
1.0,200.0,3.0,3.0,6.0,,1.0,0.0,0.0,6000.0,500.0,91.0,6591.0
1.0,22.0,1.0,1.0,0.0,,0.0,0.0,0.0,1074.0,0.0,17.0,1091.0
1.0,200.0,4.0,7.0,4.0,,1.0,1.0,0.0,8000.0,575.0,121.0,8696.0
1.0,200.0,2.0,2.0,2.0,,1.0,0.0,1.0,3000.0,167.0,46.0,3214.0
1.0,25.0,1.0,1.0,0.0,,1.0,0.0,20.0,1200.0,25.0,19.0,1264.0
1.0,145.0,3.0,1.0,2.0,,1.0,1.0,90.0,7200.0,238.0,109.0,7637.0
1.0,190.0,3.0,3.0,2.0,,1.0,0.0,0.0,6800.0,392.0,103.0,7295.0
0.0,326.0,3.0,3.0,4.0,,1.0,0.0,870.0,4200.0,523.0,64.0,5657.0
0.0,308.0,3.0,3.0,4.0,,1.0,0.0,0.0,4700.0,673.0,71.0,5444.0
1.0,400.0,5.0,6.0,0.0,,1.0,0.0,0.0,5200.0,0.0,79.0,5279.0
1.0,240.0,3.0,3.0,2.0,,1.0,1.0,0.0,4350.0,385.0,66.0,4801.0
1.0,400.0,3.0,3.0,3.0,,0.0,0.0,0.0,8300.0,816.0,125.0,9241.0
1.0,182.0,3.0,4.0,3.0,,1.0,0.0,0.0,7000.0,459.0,106.0,7565.0
1.0,300.0,3.0,4.0,1.0,,1.0,0.0,0.0,4500.0,542.0,68.0,5110.0
1.0,850.0,4.0,4.0,8.0,,1.0,0.0,0.0,12000.0,5834.0,181.0,18020.0
1.0,275.0,3.0,5.0,6.0,,1.0,1.0,0.0,13000.0,500.0,196.0,13700.0
1.0,35.0,1.0,1.0,0.0,,1.0,0.0,0.0,1100.0,30.0,14.0,1144.0
1.0,180.0,4.0,4.0,1.0,,1.0,0.0,0.0,3581.0,134.0,54.0,3769.0
1.0,170.0,3.0,2.0,2.0,,1.0,0.0,0.0,3200.0,225.0,49.0,3474.0
1.0,300.0,3.0,3.0,8.0,,1.0,0.0,0.0,4675.0,400.0,71.0,5146.0
1.0,114.0,5.0,3.0,1.0,,1.0,0.0,,6000.0,42.0,91.0,6133.0
1.0,300.0,3.0,4.0,8.0,,1.0,0.0,,5500.0,400.0,83.0,5983.0
1.0,100.0,4.0,4.0,1.0,,1.0,0.0,0.0,10000.0,9.0,151.0,10160.0
1.0,156.0,3.0,2.0,1.0,,1.0,0.0,0.0,2000.0,147.0,31.0,2178.0
1.0,94.0,2.0,2.0,2.0,,1.0,0.0,0.0,2540.0,19.0,39.0,2598.0
1.0,35.0,1.0,1.0,0.0,,1.0,0.0,0.0,1100.0,30.0,14.0,1144.0
1.0,370.0,4.0,4.0,3.0,,1.0,0.0,0.0,7900.0,1000.0,119.0,9019.0
1.0,700.0,6.0,8.0,8.0,,1.0,1.0,0.0,14000.0,1020.0,211.0,15230.0
1.0,300.0,4.0,5.0,6.0,,1.0,1.0,0.0,15000.0,1805.0,226.0,17030.0
1.0,120.0,3.0,2.0,0.0,,0.0,0.0,0.0,2501.0,163.0,38.0,2702.0
1.0,300.0,4.0,6.0,5.0,,1.0,0.0,0.0,10120.0,475.0,153.0,10740.0
1.0,80.0,2.0,1.0,1.0,,1.0,0.0,484.0,1800.0,135.0,23.0,2442.0
1.0,40.0,1.0,1.0,1.0,,0.0,0.0,0.0,972.0,0.0,15.0,987.0
1.0,90.0,2.0,2.0,1.0,,0.0,0.0,0.0,4500.0,414.0,68.0,4982.0
1.0,50.0,1.0,1.0,0.0,,1.0,0.0,0.0,2500.0,0.0,21.0,2521.0
0.0,50.0,2.0,1.0,1.0,,0.0,0.0,,1120.0,277.0,15.0,1412.0
1.0,440.0,3.0,2.0,4.0,,1.0,0.0,0.0,4500.0,259.0,68.0,4827.0
1.0,354.0,5.0,6.0,3.0,,1.0,0.0,0.0,8850.0,958.0,134.0,9942.0
1.0,110.0,3.0,3.0,2.0,,1.0,0.0,0.0,4800.0,50.0,73.0,4923.0
1.0,58.0,2.0,3.0,2.0,,0.0,0.0,50.0,2000.0,0.0,31.0,2081.0
1.0,600.0,4.0,6.0,6.0,,1.0,0.0,0.0,12000.0,2592.0,181.0,14770.0
0.0,100.0,2.0,1.0,3.0,,1.0,0.0,0.0,1250.0,100.0,19.0,1369.0
1.0,440.0,4.0,3.0,7.0,,0.0,0.0,0.0,15000.0,1084.0,226.0,16310.0
0.0,270.0,3.0,3.0,5.0,,1.0,0.0,0.0,7500.0,459.0,113.0,8072.0
1.0,75.0,1.0,1.0,0.0,,0.0,0.0,0.0,1450.0,0.0,22.0,1472.0
1.0,40.0,1.0,1.0,0.0,,0.0,0.0,0.0,650.0,0.0,10.0,660.0
1.0,80.0,3.0,1.0,0.0,,1.0,0.0,0.0,2400.0,60.0,37.0,2497.0
1.0,750.0,4.0,5.0,8.0,,1.0,0.0,0.0,15000.0,4338.0,226.0,19560.0
1.0,20.0,1.0,1.0,0.0,,1.0,1.0,602.0,1800.0,130.0,23.0,2555.0
1.0,350.0,4.0,6.0,6.0,,1.0,1.0,0.0,9600.0,1367.0,145.0,11110.0
1.0,240.0,3.0,2.0,3.0,,1.0,0.0,0.0,3500.0,292.0,53.0,3845.0
1.0,60.0,2.0,1.0,0.0,,1.0,0.0,0.0,1200.0,38.0,19.0,1257.0
1.0,30.0,1.0,1.0,0.0,,0.0,1.0,296.0,1826.0,30.0,24.0,2176.0
1.0,450.0,4.0,5.0,6.0,,1.0,0.0,0.0,12000.0,1334.0,181.0,13520.0
1.0,120.0,3.0,2.0,1.0,,1.0,0.0,0.0,3000.0,495.0,46.0,3541.0
1.0,800.0,4.0,7.0,8.0,,0.0,0.0,10000.0,8500.0,209.0,128.0,18840.0
0.0,100.0,3.0,2.0,2.0,,1.0,0.0,0.0,2250.0,15.0,34.0,2299.0
1.0,35.0,1.0,1.0,0.0,,0.0,0.0,0.0,1280.0,55.0,20.0,1355.0
1.0,323.0,3.0,5.0,6.0,,1.0,0.0,0.0,10000.0,985.0,151.0,11140.0
1.0,450.0,3.0,2.0,0.0,,1.0,0.0,0.0,5800.0,917.0,88.0,6805.0
1.0,130.0,2.0,1.0,2.0,,1.0,0.0,0.0,2600.0,0.0,15.0,2615.0
1.0,200.0,4.0,4.0,6.0,,1.0,0.0,0.0,4320.0,375.0,65.0,4760.0
1.0,310.0,4.0,4.0,3.0,,1.0,0.0,0.0,7000.0,675.0,106.0,7781.0
1.0,190.0,3.0,4.0,1.0,,1.0,0.0,0.0,4100.0,304.0,62.0,4466.0
1.0,100.0,2.0,1.0,2.0,,0.0,0.0,0.0,6000.0,167.0,91.0,6258.0
1.0,160.0,2.0,1.0,0.0,,1.0,0.0,0.0,1660.0,5.0,25.0,1690.0
1.0,83.0,2.0,3.0,2.0,,1.0,0.0,200.0,3500.0,167.0,53.0,3920.0
1.0,100.0,3.0,2.0,3.0,,1.0,0.0,430.0,4990.0,338.0,76.0,5834.0
1.0,200.0,3.0,4.0,2.0,,0.0,1.0,0.0,9800.0,417.0,148.0,10370.0
1.0,55.0,1.0,1.0,0.0,,1.0,1.0,0.0,1500.0,0.0,23.0,1523.0
1.0,40.0,1.0,1.0,0.0,,1.0,0.0,0.0,900.0,80.0,12.0,992.0
1.0,98.0,1.0,1.0,1.0,,0.0,0.0,,1283.0,0.0,14.0,1297.0
1.0,10.0,4.0,3.0,2.0,,1.0,0.0,0.0,2670.0,21.0,41.0,2732.0
1.0,430.0,4.0,4.0,8.0,,1.0,0.0,0.0,5500.0,521.0,83.0,6104.0
1.0,234.0,3.0,5.0,4.0,,1.0,1.0,0.0,3680.0,400.0,56.0,4136.0
1.0,417.0,5.0,4.0,2.0,,1.0,0.0,0.0,12000.0,1278.0,181.0,13460.0
1.0,125.0,3.0,2.0,2.0,,1.0,0.0,,1450.0,84.0,22.0,1556.0
1.0,225.0,3.0,2.0,2.0,,1.0,0.0,0.0,2300.0,209.0,35.0,2544.0
1.0,180.0,2.0,2.0,5.0,,1.0,0.0,1.0,3000.0,1.0,46.0,3048.0
1.0,50.0,1.0,1.0,0.0,,0.0,0.0,0.0,892.0,59.0,14.0,965.0
1.0,195.0,3.0,3.0,3.0,,1.0,1.0,0.0,4000.0,280.0,61.0,4341.0
1.0,45.0,1.0,1.0,0.0,,1.0,0.0,0.0,928.0,57.0,14.0,999.0
1.0,280.0,4.0,4.0,2.0,,1.0,0.0,0.0,8000.0,600.0,121.0,8721.0
0.0,212.0,4.0,1.0,2.0,,1.0,0.0,0.0,1500.0,88.0,23.0,1611.0
1.0,100.0,3.0,3.0,1.0,,1.0,0.0,0.0,7000.0,881.0,106.0,7987.0
1.0,35.0,1.0,1.0,0.0,,1.0,0.0,50.0,850.0,65.0,13.0,978.0
1.0,300.0,3.0,3.0,1.0,,1.0,1.0,0.0,11000.0,625.0,166.0,11790.0
1.0,70.0,2.0,2.0,1.0,,1.0,0.0,0.0,2100.0,9.0,27.0,2136.0
1.0,180.0,5.0,3.0,2.0,,0.0,0.0,0.0,9000.0,0.0,136.0,9136.0
0.0,75.0,2.0,1.0,1.0,,1.0,0.0,0.0,1140.0,80.0,18.0,1238.0
1.0,125.0,2.0,1.0,1.0,,1.0,0.0,0.0,1490.0,74.0,23.0,1587.0
1.0,250.0,3.0,4.0,4.0,,1.0,1.0,0.0,4200.0,0.0,64.0,4264.0
1.0,294.0,4.0,6.0,8.0,,1.0,1.0,0.0,3000.0,600.0,46.0,3646.0
1.0,150.0,2.0,3.0,1.0,,1.0,0.0,0.0,1650.0,0.0,25.0,1675.0
1.0,70.0,2.0,1.0,0.0,,1.0,0.0,0.0,1350.0,0.0,21.0,1371.0
1.0,550.0,3.0,2.0,4.0,,0.0,0.0,0.0,3805.0,449.0,58.0,4312.0
1.0,700.0,5.0,7.0,5.0,,1.0,0.0,0.0,15000.0,2240.0,226.0,17470.0
1.0,240.0,4.0,2.0,4.0,,1.0,0.0,0.0,8000.0,0.0,121.0,8121.0
0.0,85.0,2.0,1.0,0.0,,1.0,0.0,590.0,800.0,0.0,11.0,1401.0
1.0,290.0,3.0,3.0,3.0,,1.0,0.0,0.0,8000.0,542.0,121.0,8663.0
1.0,90.0,3.0,3.0,2.0,,1.0,0.0,0.0,2000.0,50.0,31.0,2081.0
0.0,348.0,3.0,3.0,3.0,,1.0,0.0,0.0,4850.0,400.0,73.0,5323.0
1.0,251.0,3.0,2.0,2.0,,1.0,0.0,0.0,3400.0,336.0,52.0,3788.0
1.0,140.0,3.0,1.0,2.0,,0.0,0.0,140.0,6000.0,273.0,91.0,6504.0
1.0,220.0,3.0,4.0,8.0,,0.0,0.0,0.0,3493.0,492.0,53.0,4038.0
1.0,80.0,2.0,2.0,0.0,,1.0,0.0,0.0,2000.0,134.0,31.0,2165.0
0.0,55.0,2.0,1.0,1.0,,1.0,0.0,480.0,750.0,66.0,10.0,1306.0
1.0,98.0,2.0,2.0,1.0,,0.0,0.0,1300.0,2990.0,250.0,38.0,4578.0
1.0,472.0,3.0,2.0,4.0,,1.0,0.0,0.0,6500.0,650.0,98.0,7248.0
1.0,112.0,3.0,2.0,3.0,,1.0,0.0,0.0,3300.0,32.0,50.0,3382.0
1.0,500.0,4.0,6.0,3.0,,1.0,0.0,0.0,15000.0,845.0,226.0,16070.0
1.0,387.0,4.0,5.0,6.0,,1.0,0.0,0.0,13000.0,834.0,196.0,14030.0
1.0,45.0,1.0,1.0,1.0,,1.0,0.0,,1300.0,59.0,20.0,1379.0
0.0,258.0,2.0,2.0,1.0,,1.0,0.0,0.0,1400.0,67.0,22.0,1489.0
0.0,402.0,4.0,5.0,2.0,,0.0,0.0,730.0,4800.0,459.0,73.0,6062.0
1.0,200.0,3.0,1.0,2.0,,1.0,0.0,0.0,3000.0,0.0,46.0,3046.0
1.0,630.0,4.0,6.0,4.0,,0.0,0.0,0.0,12300.0,2667.0,185.0,15150.0
1.0,68.0,1.0,1.0,0.0,,0.0,0.0,0.0,1140.0,0.0,18.0,1158.0
0.0,220.0,3.0,1.0,4.0,,0.0,0.0,0.0,2800.0,334.0,43.0,3177.0
1.0,280.0,3.0,3.0,5.0,,1.0,0.0,0.0,3500.0,2.0,53.0,3555.0
1.0,70.0,1.0,1.0,1.0,,1.0,0.0,0.0,1170.0,44.0,18.0,1232.0
1.0,500.0,2.0,2.0,1.0,,1.0,0.0,129.0,2260.0,0.0,34.0,2423.0
1.0,127.0,3.0,2.0,2.0,1.0,1.0,0.0,,5000.0,250.0,76.0,5326.0
1.0,120.0,4.0,2.0,2.0,,0.0,0.0,0.0,4500.0,89.0,68.0,4657.0
0.0,550.0,5.0,6.0,8.0,,1.0,0.0,,10600.0,578.0,160.0,11340.0
1.0,100.0,3.0,2.0,6.0,,1.0,0.0,0.0,7500.0,1000.0,113.0,8613.0
0.0,194.0,3.0,2.0,3.0,,1.0,0.0,0.0,3500.0,75.0,53.0,3628.0
1.0,300.0,3.0,4.0,0.0,,1.0,1.0,0.0,10000.0,2000.0,151.0,12150.0
1.0,120.0,3.0,1.0,0.0,,1.0,0.0,0.0,2200.0,0.0,34.0,2234.0
